DPPR,DPMS,BPFPR,OSPR
1.49,0.0455,1.69,1.69
1.49,0.093,1.89,1.99
1.89,0.0597,1.89,1.99
1.89,0.0346,1.89,1.99
1.89,0.0277,1.59,1.69
1.89,0.0294,1.89,1.99
1.89,0.0369,1.89,1.99
1.89,0.0413,1.89,1.89
1.89,0.0291,1.69,1.89
1.89,0.0392,1.89,1.89
1.89,0.0336,1.89,1.89
1.89,0.0345,1.89,1.79
1.89,0.0415,1.89,1.89
1.89,0.0355,1.89,1.89
1.89,0.0373,1.89,1.79
1.89,0.0388,1.89,1.89
1.79,0.0346,1.79,1.89
1.79,0.0309,1.89,1.89
1.79,0.0306,1.89,1.89
1.79,0.0358,1.89,1.59
1.79,0.0341,1.89,1.89
1.79,0.0292,1.89,1.89
1.79,0.0303,1.89,1.89
1.79,0.0343,1.89,1.89
1.48,0.0604,1.78,1.68
1.48,0.0356,1.78,1.68
1.48,0.0385,1.59,1.68
1.48,0.0486,1.59,1.68
1.48,0.0398,1.59,1.68
1.48,0.0498,1.59,1.68
1.48,0.0577,1.78,1.68
1.48,0.0314,1.59,1.68
1.48,0.0489,1.59,1.68
1.48,0.0475,1.78,1.68
1.48,0.0367,1.49,1.68
1.48,0.0411,1.49,1.68
1.48,0.0488,1.78,1.68
1.48,0.0313,1.49,1.68
1.69,0.0225,1.49,1.59
1.69,0.0307,1.49,1.59
1.69,0.0292,1.49,1.79
1.59,0.0213,1.49,1.59
1.59,0.0286,1.49,1.59
1.69,0.0252,1.79,1.79
1.59,0.0873,1.79,1.79
1.59,0.0544,1.79,1.59
1.59,0.023,1.49,1.49
1.59,0.0287,1.49,1.49
1.69,0.0304,1.59,1.79
1.69,0.0271,1.59,1.69
1.69,0.0195,1.59,1.69
1.49,0.0465,1.59,1.79
1.49,0.0343,1.59,1.49
1.69,0.0236,1.59,1.49
1.69,0.0223,1.59,1.79
1.69,0.0171,1.59,1.49
1.59,0.0408,1.59,1.49
1.59,0.0328,1.59,1.79
1.69,0.0317,1.59,1.79
1.69,0.0225,1.49,1.79
1.69,0.0224,1.49,1.59
1.69,0.0291,1.79,1.59
1.69,0.0309,1.79,1.59
1.39,0.0603,1.79,1.59
1.39,0.04,1.79,1.59
1.69,0.0242,1.59,1.59
1.69,0.0257,1.59,1.59
1.69,0.0313,1.79,1.59
1.59,0.04,1.59,1.79
1.59,0.0265,1.59,1.79
1.50,0.0655,1.59,1.79
1.69,0.0244,1.79,1.59
1.69,0.0173,1.59,1.59
1.78,0.0187,1.59,1.79
1.78,0.0229,1.79,1.69
1.69,0.036,1.69,1.69
1.69,0.0245,1.69,1.79
1.69,0.0344,1.79,1.69
1.69,0.0242,1.59,1.69
1.78,0.0169,1.59,1.79
1.69,0.0348,1.59,1.69
1.69,0.0259,1.79,1.69
1.78,0.0288,1.79,1.69
1.78,0.0193,1.59,1.69
1.78,0.0171,1.59,1.79
1.59,0.0485,1.79,1.79
1.59,0.0233,1.79,1.49
1.78,0.0146,1.49,1.49
1.59,0.0502,1.49,1.49
1.59,0.053,1.79,1.79
1.78,0.0249,1.79,1.69
1.78,0.0139,1.49,1.69
1.49,0.0258,1.49,1.29
1.49,0.0319,1.49,1.29
1.78,0.0224,1.49,1.79
1.78,0.0217,1.49,1.49
1.59,0.0562,1.79,1.49
1.59,0.0304,1.59,1.59
1.78,0.0165,1.59,1.59
1.59,0.0457,1.79,1.79
1.59,0.0355,1.79,1.49
1.59,0.0236,1.39,1.49
1.59,0.0494,1.39,1.49
1.59,0.0324,1.69,1.79
1.79,0.0224,1.69,1.79
1.79,0.0191,1.59,1.79
1.59,0.035,1.59,1.79
1.59,0.0296,1.69,1.79
1.79,0.0235,1.69,1.79
1.79,0.0252,1.79,1.79
1.59,0.0544,1.79,1.69
1.59,0.0618,1.79,1.69
1.49,0.0748,1.79,1.69